k,EOSSPHlowvis,SplitSPHlowvis,IterSPHlowvis,EOSSPHhighvis,SplitSPHhighvis,IterSPHhighvis,prediction,IterSPHlowvis2,IterSPHhighvis2,prediction2
100.0,1.8333027782870286,1.8333027782870286,2.9166180563657274,1.8333027782870286,1.8333027782870286,2.833286111898135,2.800906460926528,2.333294445092582,2.416626389560174,2.286930548844888,
125.0,1.999966667222213,1.999966667222213,3.1666138897685037,1.999966667222213,1.999966667222213,3.1666138897685037,3.1315086226250375,2.6666222229629506,2.6666222229629506,2.556866083519036,
150.0,2.083298611689805,2.083298611689805,3.4166097231712804,2.083298611689805,2.1666305561573975,3.4166097231712804,3.4303958232673315,2.9166180563657274,2.9166180563657274,2.8009064609265284,
175.0,2.2499625006249895,2.2499625006249895,3.749937501041649,2.2499625006249895,2.2499625006249895,3.749937501041649,3.7052509705828225,3.0832819453009117,3.0832819453009117,3.025324748960013,
200.0,2.333294445092582,2.333294445092582,3.916601389976834,2.416626389560174,2.416626389560174,3.999933334444426,3.9610799039807234,3.249945834236096,3.249945834236096,3.2342081983817863,
225.0,2.583290278495358,2.4999583340277662,4.16659722337961,2.4999583340277662,2.4999583340277662,4.16659722337961,4.201359691389793,3.4166097231712804,3.499941667638873,3.430395823267332,
250.0,2.6666222229629506,2.6666222229629506,4.416593056782387,2.6666222229629506,2.6666222229629506,4.416593056782387,4.428621964804618,3.583273612106465,3.666605556574057,3.6159546924843995,
275.0,2.833286111898135,2.749954167430543,4.583256945717571,2.749954167430543,2.749954167430543,4.583256945717571,4.644777901887766,3.8332694455092415,3.8332694455092415,3.7924452760600182,
300.0,2.9166180563657274,2.9166180563657274,4.833252779120348,2.833286111898135,2.833286111898135,4.833252779120348,4.8513122975726795,3.999933334444426,3.916601389976834,3.9610799039807243,
325.0,2.9999500008333193,2.9999500008333193,4.9999166680555325,2.9999500008333193,2.9999500008333193,4.9999166680555325,5.049405931324486,4.083265278912018,4.083265278912018,4.122822678642623,
350.0,3.0832819453009117,3.0832819453009117,5.166580556990716,3.0832819453009117,3.0832819453009117,5.166580556990716,5.240016174594301,4.249929167847203,4.249929167847203,4.2784552905622295,
375.0,3.1666138897685037,3.1666138897685037,5.333244445925901,3.1666138897685037,3.1666138897685037,5.333244445925901,5.4239320387265995,4.416593056782387,4.416593056782387,4.428621964804619,
400.0,3.249945834236096,3.249945834236096,5.499908334861086,3.249945834236096,3.249945834236096,5.499908334861086,5.601812921853056,4.499925001249979,4.499925001249979,4.573861097689776,
425.0,3.3332777787036885,3.3332777787036885,5.66657222379627,3.3332777787036885,3.3332777787036885,5.66657222379627,5.774216592937511,4.666588890185164,4.666588890185164,4.714628105669621,
450.0,3.4166097231712804,3.4166097231712804,5.833236112731455,3.499941667638873,3.499941667638873,5.833236112731455,5.941619855971084,4.749920834652756,4.833252779120348,4.8513122975726795,
